"Story","Title","Result","Date","Stability","Duration (s)"
"Go rest crud test","This will create new user","SUCCESS","2023-01-03T19:42:07.026Z[Europe/London]","0.0","16.52"
"Go rest crud test","This test will Update the user information","SUCCESS","2023-01-03T19:42:23.749Z[Europe/London]","0.0","2.19"
"Go rest crud test","Delete the user and verify if the user is deleted!","SUCCESS","2023-01-03T19:42:25.942Z[Europe/London]","0.0","1.28"
